Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Cao Cao Mausoleum | China | Archaeolist,/sites/china/cao-cao-mausoleum,10,11,0.9090909090909091,0.9090909090909091,33,0,0
Jebel Sahaba | Sudan | Archaeolist,/sites/sudan/jebel-sahaba,10,6,1.6666666666666667,14.666666666666666,29,0,0
Mozambique Archaeological Sites | Archaeolist,/sites/mozambique,10,8,1.25,6.875,29,0,0
Serabit el-Khadim | Egypt | Archaeolist,/sites/egypt/serabit-el-khadim,10,5,2,66.2,28,0,0
404: This page could not be found.,/sites/angola,9,9,1,0.1111111111111111,31,0,0
Azerbaijan Archaeological Sites | Archaeolist,/sites/azerbaijan,9,10,0.9,20.2,29,0,0
Cambodia Archaeological Sites | Archaeolist,/sites/cambodia,9,7,1.2857142857142858,19.142857142857142,23,0,0
Cave of Altamira and Paleolithic Cave Art of Northern Spain | Spain | Archaeolist,/sites/spain/cave-of-altamira-and-paleolithic-cave-art-of-northern-spain,9,6,1.5,217.33333333333334,12,0,0
Colombia Archaeological Sites | Archaeolist,/sites/colombia,9,9,1,3.5555555555555554,30,0,0
Hohlenstein-Stadel | Germany | Archaeolist,/sites/germany/hohlenstein-stadel,9,6,1.5,47,24,0,0
Honduras Archaeological Sites | Archaeolist,/sites/honduras,9,5,1.8,18,27,0,0
Madagascar Archaeological Sites | Archaeolist,/sites/madagascar,9,9,1,0,27,0,0
Monagrillo (archaeological site) | Panama | Archaeolist,/sites/panama/monagrillo-archaeological-site,9,7,1.2857142857142858,13.142857142857142,22,0,0
Nabta Playa | Egypt | Archaeolist,/sites/egypt/nabta-playa,9,6,1.5,15.166666666666666,29,0,0
Nitria (monastic site) | Egypt | Archaeolist,/sites/egypt/nitria-monastic-site,9,7,1.2857142857142858,2.857142857142857,31,0,0
Taq Kasra | Iraq | Archaeolist,/sites/iraq/taq-kasra,9,7,1.2857142857142858,0,23,0,0
Temple of Debod | Spain | Archaeolist,/sites/spain/temple-of-debod,9,8,1.125,22.25,18,0,0
Vietnam Archaeological Sites | Archaeolist,/sites/vietnam,9,9,1,12.444444444444445,30,0,0
404: This page could not be found.,/sites/peru,8,8,1,1.5,27,0,0
Amazonas Region Archaeological Sites | Archaeolist,/sites/amazonas-region,8,8,1,1,26,0,0
Austria Archaeological Sites | Archaeolist,/sites/austria,8,6,1.3333333333333333,18.5,25,0,0
Border Cave | South Africa | Archaeolist,/sites/south-africa/border-cave,8,6,1.3333333333333333,38.333333333333336,27,0,0
Brazil Archaeological Sites | Archaeolist,/sites/brazil,8,8,1,6,28,0,0
Buddhas of Bamiyan | Afghanistan | Archaeolist,/sites/afghanistan/buddhas-of-bamiyan,8,7,1.1428571428571428,30.857142857142858,28,0,0
Cañada de la Virgen | Mexico | Archaeolist,/sites/mexico/canada-de-la-virgen,8,5,1.6,0.4,21,0,0
Croatia Archaeological Sites | Archaeolist,/sites/croatia,8,7,1.1428571428571428,14.428571428571429,27,0,0
Djibouti Archaeological Sites | Archaeolist,/sites/djibouti,8,8,1,0,24,0,0
El Salvador Archaeological Sites | Archaeolist,/sites/el-salvador,8,4,2,54.5,18,0,0
Guatemala Archaeological Sites | Archaeolist,/sites/guatemala,8,6,1.3333333333333333,10.833333333333334,23,0,0
Gungnae | China | Archaeolist,/sites/china/gungnae,8,3,2.6666666666666665,8,18,0,0
Hawara | Egypt | Archaeolist,/sites/egypt/hawara,8,5,1.6,10.6,25,0,0
La Chapelle-aux-Saints | France | Archaeolist,/sites/france/la-chapelle-aux-saints,8,8,1,4.25,32,0,0
Mendes | Egypt | Archaeolist,/sites/egypt/mendes,8,7,1.1428571428571428,16.571428571428573,26,0,0
Miran (Xinjiang) | China | Archaeolist,/sites/china/miran-xinjiang,8,5,1.6,29.8,36,0,0
Monte Verde | Chile | Archaeolist,/sites/chile/monte-verde,8,4,2,92,29,0,0
Myos Hormos | Egypt | Archaeolist,/sites/egypt/myos-hormos,8,5,1.6,22.4,26,0,0
Northern Cyprus Archaeological Sites | Archaeolist,/sites/northern-cyprus,8,8,1,3.25,27,0,0
Otrar | Kazakhstan | Archaeolist,/sites/kazakhstan/otrar,8,7,1.1428571428571428,29.714285714285715,22,0,0
Pazyryk burials | Russia | Archaeolist,/sites/russia/pazyryk-burials,8,5,1.6,6.8,25,0,0
Rimrock Draw Rockshelter | United States | Archaeolist,/sites/united-states/rimrock-draw-rockshelter,8,4,2,75.75,21,0,0
Sri Lanka Archaeological Sites | Archaeolist,/sites/sri-lanka,8,8,1,14,26,0,0
Tapa Shotor | Afghanistan | Archaeolist,/sites/afghanistan/tapa-shotor,8,5,1.6,25.4,22,0,0
Thailand Archaeological Sites | Archaeolist,/sites/thailand,8,7,1.1428571428571428,45.57142857142857,26,0,0
Thulamela | South Africa | Archaeolist,/sites/south-africa/thulamela,8,6,1.3333333333333333,54.166666666666664,22,0,0
Tillya Tepe | Afghanistan | Archaeolist,/sites/afghanistan/tillya-tepe,8,6,1.3333333333333333,8.333333333333334,24,0,0
Toutswemogala Hill | Botswana | Archaeolist,/sites/botswana/toutswemogala-hill,8,8,1,12.5,26,0,0
Trowulan | Indonesia | Archaeolist,/sites/indonesia/trowulan,8,5,1.6,52.6,30,0,0
Turkmenistan Archaeological Sites | Archaeolist,/sites/turkmenistan,8,8,1,90.75,28,0,0
Zapatera (archaeological site) | Nicaragua | Archaeolist,/sites/nicaragua/zapatera-archaeological-site,8,6,1.3333333333333333,19.666666666666668,19,0,0
Zorah | Israel | Archaeolist,/sites/israel/zorah,8,8,1,36.375,27,0,0
the Czech Republic Archaeological Sites | Archaeolist,/sites/the-czech-republic,8,8,1,3.125,25,0,0
Ahura Mazda and Ardashir I | Iran | Archaeolist,/sites/iran/ahura-mazda-and-ardashir-i,7,2,3.5,70.5,11,0,0
Ancash Region Archaeological Sites | Archaeolist,/sites/ancash-region,7,3,2.3333333333333335,141,13,0,0
Ancient Theatre of Ohrid | North Macedonia | Archaeolist,/sites/north-macedonia/ancient-theatre-of-ohrid,7,3,2.3333333333333335,12,16,0,0
Apollo 11 Cave | Namibia | Archaeolist,/sites/namibia/apollo-11-cave,7,6,1.1666666666666667,168,26,0,0
Archaeolist,/countries,7,9,0.7777777777777778,18.555555555555557,18,0,0
Archaeolist,/sites/albania/borsh,7,7,1,0,16,0,0
Arequipa Region Archaeological Sites | Archaeolist,/sites/arequipa-region,7,7,1,0,21,0,0
Dardana Fortress | Kosovo | Archaeolist,/sites/kosovo/dardana-fortress,7,1,7,0,9,0,0
El-Tod | Egypt | Archaeolist,/sites/egypt/el-tod,7,5,1.4,27.2,22,0,0
Eswatini Archaeological Sites | Archaeolist,/sites/eswatini,7,7,1,0,22,0,0
Greece Archaeological Sites | Archaeolist,/sites/greece,7,6,1.1666666666666667,15.833333333333334,23,0,0
Islamic Cairo | Egypt | Archaeolist,/sites/egypt/islamic-cairo,7,3,2.3333333333333335,16.333333333333332,17,0,0
Jebel Irhoud | Morocco | Archaeolist,/sites/morocco/jebel-irhoud,7,7,1,3.2857142857142856,25,0,0
Jubail Church | Saudi Arabia | Archaeolist,/sites/saudi-arabia/jubail-church,7,5,1.4,19.2,20,0,0
Kazakhstan Archaeological Sites | Archaeolist,/sites/kazakhstan,7,4,1.75,28.5,17,0,0
Koumbi Saleh | Mauritania | Archaeolist,/sites/mauritania/koumbi-saleh,7,6,1.1666666666666667,22,25,0,0
Lake Küçükçekmece | Turkey | Archaeolist,/sites/turkey/lake-kucukcekmece,7,6,1.1666666666666667,2.6666666666666665,20,0,0
Lal-lo and Gattaran Shell Middens | the Philippines | Archaeolist,/sites/the-philippines/lal-lo-and-gattaran-shell-middens,7,7,1,11.857142857142858,25,0,0
Nepal Archaeological Sites | Archaeolist,/sites/nepal,7,7,1,8.285714285714286,27,0,0
North Korea Archaeological Sites | Archaeolist,/sites/north-korea,7,7,1,10,20,0,0
Padah-Lin Caves | Myanmar | Archaeolist,/sites/myanmar/padah-lin-caves,7,3,2.3333333333333335,43,17,0,0
Samoa Archaeological Sites | Archaeolist,/sites/samoa,7,7,1,0,22,0,0
Semna (Nubia) | Sudan | Archaeolist,/sites/sudan/semna-nubia,7,7,1,14,21,0,0
Serpent Mounds Park | Canada | Archaeolist,/sites/canada/serpent-mounds-park,7,5,1.4,33.8,12,0,0
Slovakia Archaeological Sites | Archaeolist,/sites/slovakia,7,4,1.75,8.25,18,0,0
Sungai Batu | Malaysia | Archaeolist,/sites/malaysia/sungai-batu,7,6,1.1666666666666667,14.666666666666666,26,0,0
Tambun rock art | Malaysia | Archaeolist,/sites/malaysia/tambun-rock-art,7,5,1.4,23,20,0,0
Timgad | Algeria | Archaeolist,/sites/algeria/timgad,7,5,1.4,7.6,21,0,0
"Tipu, Belize | Belize | Archaeolist",/sites/belize/tipu-belize,7,6,1.1666666666666667,18,17,0,0
"Tura, Egypt | Egypt | Archaeolist",/sites/egypt/tura-egypt,7,4,1.75,82.75,24,0,0
Vindonissa | Switzerland | Archaeolist,/sites/switzerland/vindonissa,7,5,1.4,163.6,11,0,0
Angola Archaeological Sites | Archaeolist,/sites/angola,6,6,1,0,18,0,0
Aulanko Castle | Finland | Archaeolist,/sites/finland/aulanko-castle,6,6,1,3,14,0,0
Bactria–Margiana Archaeological Complex | Afghanistan | Archaeolist,/sites/afghanistan/bactriamargiana-archaeological-complex,6,6,1,13.833333333333334,20,0,0
Battle at the Harzhorn | Germany | Archaeolist,/sites/germany/battle-at-the-harzhorn,6,4,1.5,29.5,18,0,0
Batu Pahat Well | Malaysia | Archaeolist,/sites/malaysia/batu-pahat-well,6,4,1.5,35.5,17,0,0
Benin Moat | Nigeria | Archaeolist,/sites/nigeria/benin-moat,6,4,1.5,51.25,20,0,0
Bilhorod Kyivskyi | Ukraine | Archaeolist,/sites/ukraine/bilhorod-kyivskyi,6,4,1.5,52,13,0,0
Blick Mead | United Kingdom | Archaeolist,/sites/united-kingdom/blick-mead,6,1,6,12,19,0,0
Blombos Cave | South Africa | Archaeolist,/sites/south-africa/blombos-cave,6,9,0.6666666666666666,27.11111111111111,19,0,0
Bon Echo Provincial Park | Canada | Archaeolist,/sites/canada/bon-echo-provincial-park,6,6,1,0,18,0,0
Burkina Faso Archaeological Sites | Archaeolist,/sites/burkina-faso,6,6,1,0,18,0,0
Dandan Oilik | China | Archaeolist,/sites/china/dandan-oilik,6,5,1.2,23.8,21,0,0
Djarkutan | Uzbekistan | Archaeolist,/sites/uzbekistan/djarkutan,6,6,1,6,18,0,0
"El Gour, Morocco | Morocco | Archaeolist",/sites/morocco/el-gour-morocco,6,6,1,4.5,23,0,0
Gabon Archaeological Sites | Archaeolist,/sites/gabon,6,6,1,0,18,0,0
Ganj Dareh | Iran | Archaeolist,/sites/iran/ganj-dareh,6,4,1.5,17.5,19,0,0
Ghana Archaeological Sites | Archaeolist,/sites/ghana,6,3,2,8.666666666666666,18,0,0
Heliopolis (ancient Egypt) | Egypt | Archaeolist,/sites/egypt/heliopolis-ancient-egypt,6,6,1,24.833333333333332,22,0,0
